Timestamp,Algorithm,Seed,Hyperparameters,Mean Reward,Std Reward,Training Time
2024-04-16 23:27:34,DQN,180,"{'learning_rate': 1.018222526082034e-05, 'gamma': 0.9355175840340954, 'buffer_size': 7478, 'batch_size': 169, 'train_freq': 63, 'target_update_interval': 626, 'exploration_fraction': 0.26285358876660464, 'exploration_final_eps': 0.08572965234942301, 'n_steps': None, 'vf_coef': None, 'ent_coef': None, 'n_epochs': None}",-892.6,2.5768197453450252,345.97938418388367
2024-04-16 23:30:07,DQN,782,"{'learning_rate': 0.00025792713116570967, 'gamma': 0.9872806825252696, 'buffer_size': 7829, 'batch_size': 148, 'train_freq': 40, 'target_update_interval': 2309, 'exploration_fraction': 0.3087917982476207, 'exploration_final_eps': 0.0942781719844647, 'n_steps': None, 'vf_coef': None, 'ent_coef': None, 'n_epochs': None}",249.0,37.5339846006256,152.6939582824707
2024-04-16 23:32:30,DQN,507,"{'learning_rate': 0.0016244656832468639, 'gamma': 0.8922178502936867, 'buffer_size': 8194, 'batch_size': 100, 'train_freq': 51, 'target_update_interval': 1296, 'exploration_fraction': 0.28231757810694513, 'exploration_final_eps': 0.07642772672167193, 'n_steps': None, 'vf_coef': None, 'ent_coef': None, 'n_epochs': None}",173.4,31.689745975630665,141.94545722007751
2024-04-16 23:37:52,DQN,174,"{'learning_rate': 0.007013316488366346, 'gamma': 0.9648526886793655, 'buffer_size': 6532, 'batch_size': 221, 'train_freq': 76, 'target_update_interval': 1059, 'exploration_fraction': 0.4067048948280144, 'exploration_final_eps': 0.06616055396252386, 'n_steps': None, 'vf_coef': None, 'ent_coef': None, 'n_epochs': None}",-709.2,148.36495543085638,321.82603549957275
2024-04-16 23:40:51,DQN,228,"{'learning_rate': 0.0009738680559858253, 'gamma': 0.8130173247340515, 'buffer_size': 7317, 'batch_size': 191, 'train_freq': 31, 'target_update_interval': 1820, 'exploration_fraction': 0.22823140159817207, 'exploration_final_eps': 0.08411867698237455, 'n_steps': None, 'vf_coef': None, 'ent_coef': None, 'n_epochs': None}",298.8,63.044111541047194,177.4309241771698
2024-04-16 23:53:36,DQN,201,"{'learning_rate': 0.001139799860261072, 'gamma': 0.8368673390855735, 'buffer_size': 6892, 'batch_size': 190, 'train_freq': 2, 'target_update_interval': 2625, 'exploration_fraction': 0.2427764907278401, 'exploration_final_eps': 0.09476287471986157, 'n_steps': None, 'vf_coef': None, 'ent_coef': None, 'n_epochs': None}",254.2,77.94716159040046,765.1041402816772
2024-04-16 23:58:27,DQN,604,"{'learning_rate': 0.0008013756551195571, 'gamma': 0.8207762666990488, 'buffer_size': 8377, 'batch_size': 231, 'train_freq': 81, 'target_update_interval': 688, 'exploration_fraction': 0.2067193964434848, 'exploration_final_eps': 0.08612503013915834, 'n_steps': None, 'vf_coef': None, 'ent_coef': None, 'n_epochs': None}",-604.8,122.60081565797185,290.09004521369934
2024-04-17 00:01:24,DQN,941,"{'learning_rate': 0.0004874088731421959, 'gamma': 0.8644444220829761, 'buffer_size': 7257, 'batch_size': 165, 'train_freq': 30, 'target_update_interval': 1726, 'exploration_fraction': 0.1703017123572558, 'exploration_final_eps': 0.08335802083350315, 'n_steps': None, 'vf_coef': None, 'ent_coef': None, 'n_epochs': None}",35.4,96.08038301339144,176.081636428833
2024-04-17 00:06:36,DQN,111,"{'learning_rate': 0.00037028450588501565, 'gamma': 0.8076667120563241, 'buffer_size': 7556, 'batch_size': 205, 'train_freq': 59, 'target_update_interval': 1480, 'exploration_fraction': 0.2453808319787725, 'exploration_final_eps': 0.08973551946683672, 'n_steps': None, 'vf_coef': None, 'ent_coef': None, 'n_epochs': None}",-624.2,321.4233345605138,311.502872467041
2024-04-17 00:10:03,DQN,681,"{'learning_rate': 0.0021750090232207486, 'gamma': 0.9107532336875663, 'buffer_size': 7186, 'batch_size': 211, 'train_freq': 19, 'target_update_interval': 2280, 'exploration_fraction': 0.3731436496825346, 'exploration_final_eps': 0.07417941092083968, 'n_steps': None, 'vf_coef': None, 'ent_coef': None, 'n_epochs': None}",385.8,18.00444389588304,206.57917594909668
